video_id,video_type,title,desc,create_time,user_id,nickname,avatar,liked_count,video_play_count,video_danmaku,video_comment,last_modify_ts,video_url,video_cover_url,source_keyword
113128952041054,video,延迟退休年龄对照表,,1726211038,104092224,中新视频,https://i0.hdslb.com/bfs/face/c8db7e40faacae4a8d51c6ddbedd401e92e3a265.jpg,1366,64347,0,7,1736966195343,https://www.bilibili.com/video/av113128952041054,http://i1.hdslb.com/bfs/archive/5560b8260cc52866da02b3890abcc423e622d504.jpg,延迟退休
113129337985476,video,我国将启动延迟退休改革,全国人大常委会会议表决通过了关于实施渐进式延迟法定退休年龄的决定。根据决定，从2025年1月1日起，我国将用15年时间，逐步将男职工的法定退休年龄从原60周岁延迟到63周岁，将女职工的法定退休年龄从原50周岁、55周岁，分别延迟到55周岁、58周岁。,1726218132,6250993,看看新闻Knews,https://i1.hdslb.com/bfs/face/79fe6ed562aa91a77abb2c32f8183319deea2f6f.jpg,67,5006,0,4,1736966195386,https://www.bilibili.com/video/av113129337985476,http://i2.hdslb.com/bfs/archive/60c0018623ce2fd01371f559e95e7fbc5f75ccbf.jpg,延迟退休
113129002440764,video,新华社消息｜我国将启动延迟退休改革,新华社消息｜我国将启动延迟退休改革,1726211868,515155585,新华社快看,https://i1.hdslb.com/bfs/face/c9efe213b533370e428b72e5b90053ac92188456.jpg,3563,132988,38,0,1736966195477,https://www.bilibili.com/video/av113129002440764,http://i1.hdslb.com/bfs/archive/f5487383b6008d393f2e8424b86f8ea6c9d99aba.jpg,延迟退休
113129052702095,video,全国人民代表大会常务委员会关于实施渐进式延迟法定退休年龄的决定,,1726212628,1131457022,人民日报,https://i2.hdslb.com/bfs/face/19a041ba0e78ed43b7a3eab35edfc998eaa7db8e.jpg,3235,152329,2,12,1736966195573,https://www.bilibili.com/video/av113129052702095,http://i0.hdslb.com/bfs/archive/7049d0912921c3b7f1686ad52c420fc020b331df.jpg,延迟退休
113128968815738,video,请收藏！渐进式延迟退休年龄对照表公布,第十四届全国人民代表大会常务委员会第十一次会议通过了《关于实施渐进式延迟法定退休年龄的决定》，本决定自2025年1月1日起施行。,1726211773,328271007,青蜂侠-Bee,https://i0.hdslb.com/bfs/face/3d5fa2fd6893a6210c5c03e156a2f0349bb3072e.jpg,568,31389,0,10,1736966195675,https://www.bilibili.com/video/av113128968815738,http://i2.hdslb.com/bfs/archive/4d87e177b3c6a71a3f4f5801e123b968b7d3bdbd.jpg,延迟退休
113129254033884,video,权威发布！全国人民代表大会常务委员会关于实施渐进式延迟法定退休年龄的决定。,,1726215895,33775467,人民网,https://i0.hdslb.com/bfs/face/4b5468ab22ee0ba672f070def7ed55986c581a4a.jpg,3885,140896,61,0,1736966195784,https://www.bilibili.com/video/av113129254033884,http://i2.hdslb.com/bfs/archive/c89468041754747e30efeb6b38c10fb2cb1962d0.jpg,延迟退休
113130982086681,video,延迟退休政策细则公布 弹性延迟退休是怎么规定的,#联播+ 延迟退休政策细则公布 弹性延迟退休是怎么规定的 #青海 #本地新闻 #青海dou知道,1726242175,3537108406896854,青海新闻联播,https://i2.hdslb.com/bfs/face/eece3af3582fc20866171059b7b3fc6be7daee7a.jpg,3,468,0,2,1736966195868,https://www.bilibili.com/video/av113130982086681,http://i0.hdslb.com/bfs/archive/a0daa2eee14f509673aaec7cd22628acc3b0c97f.jpg,延迟退休
113129086458442,video,转发收藏！延迟法定退休年龄时间对照表,,1726213173,630882981,长安街知事,https://i0.hdslb.com/bfs/face/3cfe8af1a8148b450c477d1688367c4e684ea4e5.jpg,724,27585,1,0,1736966533474,https://www.bilibili.com/video/av113129086458442,http://i2.hdslb.com/bfs/archive/575f2f9580035913ab6680d9f87bfd036b2ffb75.jpg,延迟退休
113129153435974,video,延迟退休细则解读：达到最低缴费年限，可以自愿选择弹性提前退休,,1726214624,2144464488,掌闻视讯,https://i0.hdslb.com/bfs/face/9fd347c72caca1ad5bc5d0f519209d5f0d286dd7.jpg,89,36147,0,14,1736966533489,https://www.bilibili.com/video/av113129153435974,http://i1.hdslb.com/bfs/archive/af1f75e52342a6e5d25c12bcd6e31f74ff291257.jpg,延迟退休
113129270810929,video,延迟退休政策细则公布,,1726216285,33775467,人民网,https://i0.hdslb.com/bfs/face/4b5468ab22ee0ba672f070def7ed55986c581a4a.jpg,381,6355,0,4,1736966533575,https://www.bilibili.com/video/av113129270810929,http://i2.hdslb.com/bfs/archive/1ce446797de6291a1b575d82c95c9e214179245b.jpg,延迟退休
113129287583496,video,转发收藏！渐进式延迟法定退休年龄对照表（女职工版）来了,,1726216100,522554101,南方Plus,https://i1.hdslb.com/bfs/face/0707061759c7f39075636b7e20a6a70691c04542.jpg,68,5605,0,0,1736966533654,https://www.bilibili.com/video/av113129287583496,http://i2.hdslb.com/bfs/archive/b87bd0c5932b6717111a1ac2fc7f8494ff21734d.jpg,延迟退休
113129841301894,video,延迟退休细则解读：逐步延至男63周岁，女55周岁或58周岁退休,,1726224828,2144464488,掌闻视讯,https://i0.hdslb.com/bfs/face/9fd347c72caca1ad5bc5d0f519209d5f0d286dd7.jpg,29,8408,0,4,1736966533745,https://www.bilibili.com/video/av113129841301894,http://i0.hdslb.com/bfs/archive/ad25a65d1e515ea5132045235f5b91c6a2bb584c.jpg,延迟退休
113129405025874,video,延迟退休办法如何影响青年？官方详解！,,1726219136,48968347,第一财经,https://i1.hdslb.com/bfs/face/241c1464ae064aa6c82a3716486e72b72278387b.jpg,66,6480,0,0,1736966533833,https://www.bilibili.com/video/av113129405025874,http://i0.hdslb.com/bfs/archive/8a57e23845464a53e9edb68abf6efea921efb1fc.jpg,延迟退休
113129572994821,video,延迟退休如何实施？一图看懂,,1726220925,48968347,第一财经,https://i1.hdslb.com/bfs/face/241c1464ae064aa6c82a3716486e72b72278387b.jpg,31,3995,0,0,1736966533924,https://www.bilibili.com/video/av113129572994821,http://i2.hdslb.com/bfs/archive/9ba505e96063f560961342d1b5ef42fc05894bd8.jpg,延迟退休
