,id,progress,mode,fontsize,color,midHash,content,ctime,idStr,attr,date,time
0,1743041594737060864,170760,1,25,16777215,dd94230,阿三程序员太多,1734877950,1743041594737060864,1048576,2024-12-22,14:32:30
1,1742990872196479744,69355,1,25,16777215,5c0c6492,还有发动机问题,1734871903,1742990872196479744,1048592,2024-12-22,12:51:43
2,1742977079077032704,99541,1,25,16777215,1b55756f,飞行的酒桶,1734870259,1742977079077032704,1048592,2024-12-22,12:24:19
3,1742976639153359104,65024,1,25,16777215,1b55756f,不像是软件问题，,1734870206,1742976639153359104,1048592,2024-12-22,12:23:26
4,1742917573278280448,88711,1,25,16777215,da67bb77,这个角度，好肥,1734863165,1742917573278280448,1048576,2024-12-22,10:26:05
5,1742914983363062272,72226,1,25,16777215,b19b7459,可能有了替代型号了，要用来生产新机型,1734862856,1742914983363062272,1048576,2024-12-22,10:20:56
6,1743802592293253376,90655,1,25,16777215,ae65f0d4,没人要可以拿到我这换盆,1734968668,1743802592293253376,1048576,2024-12-23,15:44:28
7,1743776420045796096,151603,1,25,16777215,3ae1295d,太棒力,1734965548,1743776420045796096,1048576,2024-12-23,14:52:28
8,1743697702800041472,11479,1,25,16777215,4176148b,我们没那么大的能力。他们是自己不好，造成延迟接收的,1734956164,1743697702800041472,1048576,2024-12-23,12:16:04
9,1743483741990571008,13944,1,25,16777215,c5995309,太贵了,1734930658,1743483741990571008,1048576,2024-12-23,05:10:58
10,1743470753942729472,173521,1,25,16777215,7e4c42d7,软件大国印度代工,1734929109,1743470753942729472,1048576,2024-12-23,04:45:09
11,1743452892230638080,96282,1,25,16777215,fe064536,看着像胖头鱼似的,1734926980,1743452892230638080,1048576,2024-12-23,04:09:40
12,1743402236027049984,280751,1,25,16777215,b860f70a,马少保，马保国,1734920941,1743402236027049984,1048576,2024-12-23,02:29:01
13,1743401195378054656,172715,1,25,16777215,b860f70a,印度软件工程师担纲可以理解,1734920817,1743401195378054656,1048576,2024-12-23,02:26:57
14,1743350696704555776,165629,1,25,16777215,dea2435c,换鸿蒙软件,1734914797,1743350696704555776,1048576,2024-12-23,00:46:37
