,id,progress,mode,fontsize,color,midHash,content,ctime,idStr,attr,date,time
0,1748883656816483328,12823,1,25,14811775,3b37b0f3,奶奶不歪玩到关服,1735574378,1748883656816483328,1048576,2024-12-30,15:59:38
1,1748883522833761536,17111,1,25,16777215,6263f7c5,茜特拉莉不歪，玩到关服,1735574362,1748883522833761536,1048576,2024-12-30,15:59:22
2,1748883247989755392,9751,5,25,16777215,e7795f15,许愿奶奶，出必还愿,1735574329,1748883247989755392,1048576,2024-12-30,15:58:49
3,1748883014794001664,8820,1,25,14811775,4403a7a,许愿奶奶！出必还愿！,1735574301,1748883014794001664,1048576,2024-12-30,15:58:21
4,1748883002194252544,1925,5,25,16777215,8a67210c,许愿奶奶提前金小保底不歪！，出必还愿！,1735574300,1748883002194252544,1048576,2024-12-30,15:58:20
5,1748882887429779456,33514,1,25,14811775,c4508339,许愿茜特菈莉不歪,1735574286,1748882887429779456,1048576,2024-12-30,15:58:06
6,1748882762590524416,61929,1,25,6830715,58df594c,茜特拉莉不歪 玩到关服！,1735574271,1748882762590524416,1048576,2024-12-30,15:57:51
7,1748882455400218624,49428,4,25,6830715,726b8bdb,奶奶好好看！！,1735574235,1748882455400218624,1048576,2024-12-30,15:57:15
8,1748882334269012480,,5,25,14811775,5d69ed5,奶奶助我成功回上岸回家，抽卡不歪,1735574220,1748882334269012480,1048576,2024-12-30,15:57:00
9,1748882306074074880,51348,1,25,16777215,58df594c,茜特拉莉不歪 玩到关服！,1735574217,1748882306074074880,1048576,2024-12-30,15:56:57
10,1748882281713904384,56173,1,25,16777215,18c44c44,怎么一股崩铁味,1735574214,1748882281713904384,1048576,2024-12-30,15:56:54
11,1748882018965520384,12401,1,25,16777215,489c0a9b,许愿茜特菈莉0+1，不歪玩到关服！,1735574182,1748882018965520384,1048576,2024-12-30,15:56:22
12,1748881914670500096,48985,1,25,16777215,18c44c44,老婆!,1735574170,1748881914670500096,1048576,2024-12-30,15:56:10
13,1748880887644366592,20079,1,25,16777215,2b13819a,许愿茜特菈莉，出必还愿！,1735574048,1748880887644366592,1048576,2024-12-30,15:54:08
14,1748880616088870144,48020,1,25,14811775,46ff94c1,她真好看,1735574015,1748880616088870144,1048576,2024-12-30,15:53:35
15,1748880473456850176,28996,1,25,13369971,1bf507da,老东西真可爱,1735573998,1748880473456850176,1048576,2024-12-30,15:53:18
16,1748880379571867392,30185,1,25,14811775,46ff94c1,奶奶太可爱了,1735573987,1748880379571867392,1048576,2024-12-30,15:53:07
17,1748880261350865152,16231,1,25,16777215,ffa64ee4,许愿茜特菈莉奶奶！出必还愿！,1735573973,1748880261350865152,1048576,2024-12-30,15:52:53
18,1748880213686625280,10299,5,25,14811775,6982eb0,许愿,1735573967,1748880213686625280,1048576,2024-12-30,15:52:47
19,1748880149271248640,46983,1,25,16777215,cce5ba62,希望茜特菈莉宝宝可以提前来,1735573960,1748880149271248640,1048576,2024-12-30,15:52:40
20,1748880142560262144,8681,1,25,14811775,46ff94c1,许愿奶奶，出必还愿,1735573959,1748880142560262144,1048576,2024-12-30,15:52:39
